ID	Long ID	Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	rawprice	URL	Type	Trimmed Performer	Allmusic Performer	Moods	Allmusic Genre	Allmusic URL
86522913	86522913-bill-frisells-858-quartet	Bill Frisell's 858 Quartet	2009-05-21 22:00:00 +0000		42.3723	-71.12182	Regattabar at the Charles Hotel	One Bennett St.	Cambridge	MA	02138	United States	25	 $25	http://www.regattabarjazz.com	Jazz	Bill Frisell's 858 Quartet				
87055149	87055149-jazz-with-john-at-garden-in-the-woods	Jazz with John at Garden in the Woods	2009-05-22 17:00:00 +0000	2009-05-22 19:00:00 +0000	42.34147	-71.4248	New England Wild Flower Society's Garden in the Woods	180 Hemenway Rd.	Framingham	MA	01701	United States	-2	 Included in admission to Garden in the Woods: $8 adults, $6 seniors and students with ID, $4 youths 3-18.	http://www.newenglandWILD.org	Nature	Jazz 				
85734582	85734582-harborwalk-sounds-neara-russell	HarborWalk Sounds: Neara Russell	2009-05-22 17:00:00 +0000	2009-05-22 19:00:00 +0000	42.35241	-71.04466	Institute of Contemporary Art	100 Northern Ave.	Boston	MA	02210	United States	-2	 free with musuem admission	http://www.icaboston.org/	Rock	HarborWalk Sounds				
87010871	87010871-the-pamela-hines-trio	The Pamela Hines Trio	2009-05-22 19:00:00 +0000	2009-05-22 20:30:00 +0000	42.4819	-71.4403	Acton Jazz Cafe	452 Great Rd, Rte. 2A	Acton	MA	01720	United States	10	 10.00	http://www.actonjazzcafe.com	Jazz	The Pamela Hines Trio				
86874841	86874841-baku-sunset-presents-latin-passion	Baku Sunset presents: Latin Passion	2009-05-22 19:00:00 +0000		42.35643	-71.05215	Revolution Rock Bar	200 High St.	Boston	MA	02110	United States	10	 10	http://www.revolutionrockbar.com/	Techno &amp; Dance	Latin Passion				
86889736	86889736-acoustic-cafe	Acoustic Cafe	2009-05-22 19:00:00 +0000	2009-05-22 22:00:00 +0000	42.53922	-71.50932	Indian Hill Music School	36 King St.	Littleton	MA	01460	United States	10	 $10 cover charge	http://www.indianhillmusic.org	Performing Arts	Acoustic Cafe				
87025848	87025848-phillips-academy-concert	Phillips Academy Concert	2009-05-22 19:30:00 +0000		42.64881	-71.13306	Phillips Academy - Cochran Chapel	One Chapel Ave.	Andover	MA	01810	United States	0	 Free of Charge		Classical	Phillips Academy Concert	Phillips Exeter Academy Concert Choir		Soundtrack	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jbfwxqqkldje
86510142	86510142-sy-yules-dave-yules-braden-sgambati	Sy Yules, Dave Yules,  Braden Sgambati	2009-05-22 20:00:00 +0000		42.00661	-71.30136	Leona's Family Restaurant	553 Kelley Blvd.	North Attleboro	MA	02760	United States	0	 Free	http://www.leonasfamilyrestaurant.com/index.html	Alternative	Sy Yules				
86982195	86982195-triton-brass-quintet	Triton Brass Quintet	2009-05-22 20:00:00 +0000		42.34116	-71.37251	Wayland High School Little Theatre	264 Old Connecticut Path (Rte 126),	Wayland	MA	01778	United States	0	 Free	http://www.wayland.k12.ma.us/high_school/	Classical	Triton Brass Quintet				
86702063	86702063-hallelujah-the-hills-bon-savants	Hallelujah The Hills, Bon Savants	2009-05-22 20:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	10	 $10.00	http://www.mideastclub.com/	Alternative	Hallelujah The Hills	Hallelujah the Hills	Indie Pop|Lo-Fi|Indie Rock|Confident|Ramshackle|Messy|Amiable/ Good-Natured|Carefree|Freewheeling|Fun|Literate|Rousing|Quirky|Rollicking|Eccentric|Lively|Playful|Wry|Raucous|Party/ Celebratory|Spacey	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hvfoxqwdldte
86913742	86913742-boston-modern-orchestra-project	Boston Modern Orchestra Project	2009-05-22 20:00:00 +0000		42.34112	-71.0861	Jordan Hall	30 Gainsborough St.	Boston	MA	02115	United States	10	 $10-$52	http://www.newenglandconservatory.edu/jordanhall/	Classical	Boston Modern Orchestra Project	Boston Modern Orchestra Project		Orchestral Music|Avant-Garde Music|Opera	http://www.allmusic.com/cg/amg.dll?p=amg&sql=41:114684
