Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	URL	Type	
Boombox	2009-04-22 21:00:00 +0000		42.3472	-71.0944	Bill's Bar	5 1/2 Lansdowne St.	Boston	MA	02115	United States	?	http://www.billsbar.com	Techno &amp; Dance
Elvis Perkins in Dearland	2009-04-22 21:00:00 +0000		42.3738	-71.1213	The Brattle Theater	40 Brattle St.	Cambridge	MA	02138	United States	 $15	http://www.brattlefilm.org/brattlefilm/	Alternative
International Wednesdays at Gypsy	2009-04-22 22:00:00 +0000		42.35234	-71.06584	Gypsy Bar	116 Boylston St.	Boston	MA	02116	United States	?	http://gypsybarboston.com	Music
Drake Sherman &amp;amp; Ben Janse AKA Paper Cane	2009-04-22 22:00:00 +0000		42.31988	-71.11168	Alchemist Lounge	435 S. Huntington Ave.	Jamaica Plain	MA	02130	United States	 Always Free	http://www.alchemistlounge.com	Pop
Twitch Every Wednesday with DJ Mac	2009-04-22 22:00:00 +0000		42.34515	-71.09558	Boston Ramrod	1254 Boylston St.	Boston	MA	02215	United States	?	?	Music
Famous Wednesdays	2009-04-22 22:00:00 +0000	2009-04-23 02:00:00 +0000	42.34873	-71.09509	The Foundation Lounge	500 Commonwealth Ave.	Boston	MA	02215	United States	 No Cover	http://www.thefoundationlounge.com	Pop
Karaoke Final - $500 Cash Prize Wed 10pm - Sports Depot	2009-04-22 22:00:00 +0000		42.35567	-71.13259	Sports Depot Restaurant	353 Cambridge St.	Boston	MA	02134	United States	 $500. Cash Prize Finals - Join as a Judge and get a $10. Gift Certificate	http://sportsdepotboston.com	Music
Lamine Toure	2009-04-23 08:30:00 +0000		42.38198	-71.11965	Lizard Lounge	1667 Mass. Ave.	Cambridge	MA	02138	United States	?	http://lizardloungeclub.com	Music
Spring Break Beach Party Benefit	2009-04-23 10:30:00 +0000		42.32102	-71.21001	Hyde Community Center	90 Lincoln St.	Newton	MA	02461	United States	 $10 in advance, $12 at the door	http://www.hydecenter.org	Miscellaneous
Midday Organ Recital	2009-04-23 12:15:00 +0000	2009-05-24 12:45:00 +0000	42.37696	-71.11258	Adolphus Busch Hall	29 Kirkland St.	Cambridge	MA	02138	United States	 Free	http://www.artmuseums.harvard.edu/busch/adolphushall.html	Classical
New Brew Lunchtime Series Presents: Krystel Spoon	2009-04-23 13:00:00 +0000		42.34798	-71.08524	The Red Room @ Cafe 939	939 Boylston St.	Boston	MA	02115	United States	 Free	http://www.cafe939.com	Music
Disappearing People	2009-04-23 18:00:00 +0000	2009-04-23 22:00:00 +0000	42.3586	-71.0567	Northeastern University- Cabral Center	40 Leon St. - West Village F	Boston	MA	02115	United States	 Free	?	Education/Campus
Keigo Hirakawa &amp;amp; Matt Hogan Jazz Duo	2009-04-23 18:30:00 +0000		42.3467	-71.0695	Icarus	3 Appleton St.	Boston	MA	02295	United States	?	http://icarusrestaurant.com	Jazz
Fred Woodard Trio	2009-04-23 19:00:00 +0000	2009-04-23 22:00:00 +0000	42.31945	-71.07794	The Breezeway	153 Blue Hill Ave.	Boston	MA	02119	United States	?	?	Jazz
CANCELLED: Jack's Mannequin	2009-04-23 19:00:00 +0000		42.34739	-71.09572	House Of Blues	15 Lansdowne St.	Boston	MA	02215	United States	 $27.50	http://www.hob.com/venues/clubvenues/boston/	Alternative
Seeking Women Who Love To Sing	2009-04-23 19:30:00 +0000	2009-04-23 22:00:00 +0000	42.54116	-71.18907	Wilmington Arts Council Building	219 Middlesex Ave. (Route 62)	Wilmington	MA	01887	United States	?	?	Miscellaneous
Open rehearsals/Auditions	2009-04-23 19:30:00 +0000		42.54116	-71.18907	Wilmington Arts Council Building	219 Middlesex Ave. (Route 62)	Wilmington	MA	01887	United States	?	?	Miscellaneous
Music with Kirsten Hughes and Matt Pryor	2009-04-23 19:30:00 +0000	2009-04-23 23:30:00 +0000	42.2518	-71.03701	Common Market Restaurant	97 Willard St.	Quincy	MA	02170	United States	 Free	http://www.commonmarketrestaurants.com	Easy Listening
From The Inside Out	2009-04-23 19:30:00 +0000		42.37367	-71.09998	Lily Pad	1353 Cambridge St.	Cambridge	MA	02143	United States	 $9.5	http://www.lily-pad.net	Music
Endicott College Jazz Band	2009-04-23 19:30:00 +0000		42.55133	-70.84223	Endicott College	376 Hale St.	Beverly	MA	01915	United States	 General Admission $5.	http://www.endicott.edu	Jazz
The Bruce Katz Band	2009-04-23 19:30:00 +0000		42.3723	-71.12182	Regattabar at the Charles Hotel	One Bennett St.	Cambridge	MA	02138	United States	 $25	http://www.regattabarjazz.com	Jazz
The Spring Standards, Verb The Adjective Noun	2009-04-23 20:00:00 +0000		42.34808	-71.08512	Cafe 939 at Berklee	939 Boylston St.	Boston	MA	02115	United States	 $12.00	http://www.cafe939.com	Rock
Bruce Molsky	2009-04-23 20:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	 $17.00	http://www.clubpassim.org/	Music
The Bronx	2009-04-23 20:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	 $13.00	http://www.mideastclub.com/	Alternative
Marsman Presents... Chris Mascara	2009-04-23 20:00:00 +0000		42.34264	-71.09935	Church	69 Kilmarnock St.	Boston	MA	02215	United States	 $8	http://www.churchofboston.com	Music
Jazz Ensemble Winter Concert	2009-04-23 20:00:00 +0000		42.59164	-70.82257	Gordon College Phillips Recital Hall	255 Grapevine Road	Wenham	MA	01984	United States	 $10 general admission, $7 seniors	http://www.gordon.edu/artsevents	Theater
Glenn Michael	2009-04-23 20:00:00 +0000	2009-04-23 22:00:00 +0000	42.19261	-71.20198	Perks Coffeehouse	685 Washington St.	Norwood	MA	02062	United States	?	http://www.myspace.com/perkscoffeehouseproductions	Folk
Ed Kowalczyk	2009-04-23 20:00:00 +0000		42.35028	-71.13059	Great Scott	1222 Commonwealth Ave.	Boston	MA	02134	United States	 $15.00	http://www.greatscottboston.com/	Alternative
